Type,Source,Target
T1 NSL,23,115
T1 NSL,115,131
T1 NSL,131,74
T1 NSL,74,84
T1 NSL,84,122
T1 NSL,122,129
T1 NSL,129,106
T1 NSL,106,3
T1 NSL,3,24
T1 NSL,24,102
T1 NSL,102,65
T1 NSL,65,56
T1 NSL,56,43
T1 NSL,43,94
T1 NSL,94,116
T1 NSL,116,120
T1 NSL,120,118
T1 NSL,118,119
T1 NSL,119,50
T1 NSL,50,5
T1 NSL,5,78
T1 NSL,78,79
T1 NSL,79,11
T1 WL,98,35
T1 WL,35,27
T1 WL,27,127
T1 WL,127,80
T1 WL,80,117
T1 WL,117,99
T1 WL,99,103
T1 WL,103,95
T1 WL,95,68
T1 WL,68,12
T1 WL,12,104
T1 WL,104,114
T1 WL,114,89
T1 WL,89,123
T1 WL,123,125
T1 WL,125,88
T1 WL,88,48
T1 WL,48,44
T1 WL,44,28
T1 WL,28,6
T1 WL,6,64
T1 WL,64,108
T1 WL,108,96
T1 WL,96,23
T2,23,115
T2,115,131
T2,131,26
T2,26,105
T2,105,81
T2,81,23
T2,23,96
T2,96,92
T2,92,63
T2,63,109
T2,109,4
T3,23,81
T3,81,105
T3,105,26
T3,26,131
T3,131,115
T3,115,23
T3,23,96
T3,96,40
T3,40,107
T3,107,111
T3,111,69
T3,69,34
T3,34,51
T3,51,19
T3,19,17
T3,17,10
T3,10,60
T3,60,126
T3,126,93
T3,93,8
T4,31,130
T4,130,20
T4,20,76
T4,76,47
T4,47,58
T4,58,110
T4,110,55
T4,55,29
T4,29,85
T4,85,77
T4,77,91
T4,91,52
T4,52,1
T4,1,21
T4,21,59
T4,59,101
T4,101,7
T4,7,2
T4,2,128
T4,128,112
T4,112,111
T4,111,96
T4,96,23
T4,23,115
T4,115,70
T4,70,57
T4,57,37
T4,37,13
T5,61,38
T5,38,42
T5,42,22
T5,22,66
T5,66,121
T5,121,15
T5,15,18
T5,18,41
T5,41,132
T5,132,46
T5,46,73
T5,73,48
T5,48,88
T5,88,125
T5,125,123
T5,123,89
T5,89,114
T5,114,104
T5,104,12
T7,108,86
T8,23,115
T8,115,131
T8,131,26
T8,26,105
T8,105,81
T8,81,23
T8,23,45
T8,45,71
T8,71,33
T8,33,54
T8,54,128
T8,128,100
T8,100,87
T8,87,49
T8,49,42
T8,42,67
T8,67,53
T8,53,75
T8,75,62
T8,62,16
T9,23,96
T9,96,14
T9,14,108
T9,108,83
T9,83,30
T9,30,97
T9,97,72
T9,72,124
T9,124,32
T9,32,36
T9,36,39
T9,39,25
T9,25,9
T9,9,90
T9,90,113
T9,113,82
T9,82,50
T9,50,5
T9,5,78
T9,78,79
T9,79,11
